Fecha,Máquina,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Th,Pa,U,Np,Pu,Agua (%),Glicol,Hollín,TAN,Oxidación,Contaminación,Sulfatación,Unidad,Componente,Zona,País,Modelo
2025-05-10,Pala A01,94.29843869778743,2.499383244102663,,57.29979141771517,5.661189958080928,,,41.15026035023424,,78.89736658945888,,,,69.37820103479176,,,,3.7852941613060986,97.24723002608818,67.67064890782136,77.22786062786025,,,,,,13.778418832498307,,94.07002384718655,63.774429111331116,,32.20593486115786,,,97.53203532447156,48.469578667430575,90.75258000950893,28.062072345403994,9.49495320718157,45.46815443684006,83.57012765145733,3.204166976114992,,,74.29306517723242,16.274355794034275,,47.773462309393096,66.08355769993369,90.92774417242907,32.82089450176719,38.2657849702078,,,,,13.564349406615312,66.05427665978863,6.119755262634928,,46.332015297235934,11.145715256575498,0.34026792083779067,,,18.145290053881663,,69.75951778961775,,6.50522133757045,37.12948053905245,54.92844617492672,12.342230729734572,,3.1778552937536406,,,40.67001366542687,,,,13.774056935180313,38.28890165989033,,60.137807367788184,11.98075130718574,87.21773967009324,1.5469681823124077,16.73694509427399,77.22777822068664,,23.127327557484033,59.75319813898139,47.01614319290447,10.710574046705645,55.69116895356263,39.4937661645579,37.83054477115393,Perforadora,Motor,Iquique,Bolivia,CAT 6060
2025-11-10,Pala A03,42.2390298339084,,83.41132421504923,,83.31953224566368,70.9885589949427,,4.861085478108724,21.823135335662723,,5.368889347185685,,95.56362830619686,,,,86.16585898886028,,,55.477942971207575,39.37449704742017,24.690692152741306,,,9.470550400125884,26.62422185627833,63.89511105075079,,99.55703416635579,40.03645367213957,23.40950952978026,69.23342077891566,,,82.33057153472512,11.795215026140715,97.45907114539173,,,17.890722841805392,,1.9060616249908076,98.99529495151288,48.38587390480288,87.01919421469069,61.22325300643049,,27.442024849168146,,16.0772557102369,24.008178533001786,68.7198492360052,73.82827734962255,95.21167785430514,3.140901350274507,,32.462188270642464,,,,,,40.57253772760927,14.661074128443323,52.806371124365505,0.8071503655011862,64.71507274335136,79.93272175280357,,,3.9764932375228974,1.121611093356503,,15.595754251239534,23.853870125925965,,,14.868826857373513,17.014703298412527,,,,46.872024631287736,30.569542318465444,,,93.72739114332511,85.11398611094049,18.66979951204877,,71.81082931052852,12.877653052713267,,61.83094787284511,39.42715475955543,20.303410123145127,58.496526308837005,78.45231453197621,Cargador Frontal,Rodado,Copiapó,Canadá,Komatsu 930E
2023-05-02,Pala A06,37.73198882697095,,,27.705282582745955,4.517730481991276,44.490560082003974,,,5.951125879249101,40.11814247196271,86.55890183710115,74.78202527829384,,36.68882441049846,4.939572355272286,49.68523792544249,98.27006122674415,32.41885105582144,69.07319097124902,6.440911184061054,,83.92529349919266,80.98517538364672,38.13840345343955,15.647450883312482,70.35689212351673,49.326515502288025,59.25822130391049,56.75200667503506,3.2023133055524537,,,,46.41891453512833,21.330205295593462,10.891673081355199,49.61624790322876,,,,1.1821652380461192,,,0.002576573274851131,,35.86867086143737,,,,41.29558563757583,61.68065230253961,,8.770845362896786,,62.94362476404611,16.431947403110712,62.88253982030169,60.2376122056917,,21.582628432561425,,77.93517218290613,19.828253443519834,94.32939749054236,,,55.82638665826163,,41.421800310905944,8.058320292409508,82.3198848080888,35.35766607617725,,20.39807568891284,21.770160672141127,85.15280130516048,80.59924473447067,36.972262598709925,0.27873873701753904,85.04846637153055,,67.2589703704785,82.9297613976146,23.63154233086008,59.882519781389576,97.26623990176991,19.185964918309512,,24.795656768603447,68.729086954846,,17.599653010980234,52.74382176559711,,35.257486598144915,,87.57262052607942,,Excavadora,Caja de Cambios,Copiapó,México,Volvo A60H
2024-04-11,Pala A05,,60.57576729836291,34.546769685675415,46.407564472838224,,,,93.3030823965429,,63.895862632717076,,37.649089859712326,,,51.68447453812925,,90.68239512512979,8.93671108305487,30.78087675813433,25.71240189619137,88.78733248428723,,2.7139165312315363,,8.012484576195291,10.875794926792326,80.85121369327274,2.655769274472342,,92.80568333284236,,36.679647893174895,,,,25.60473318863103,33.0750902934536,50.08207160159798,96.98526132055163,,42.64470750173231,,,82.90275650580226,4.931878829042271,10.060784439320885,,,,,,94.7683283028982,,70.03992833726784,,30.542854287148565,10.156156173316381,56.27239015577746,,5.539211377714234,,,49.92914960207645,23.54268783296668,99.0888017352367,18.81088320666892,19.2042904719263,74.30201444383344,98.2195209499075,28.976199087238875,74.84705535500792,,11.562852076995691,75.1236837547225,90.05913691261856,68.47482149260709,,28.7193706659683,69.10613142395326,94.98940440063701,70.36193613789415,,,55.09334640602317,5.213484747458616,,,,,10.80883722679203,25.719440976587716,86.13207944852778,,,22.135904882685054,80.9709280899106,65.29078899033223,53.98649393653692,Bulldozer,Motor,Mejillones,Argentina,Liebherr R9800
2023-11-27,Pala A05,67.51433097490566,,,45.00340117335671,,46.10152387411327,44.43930877368261,,31.909021625467748,85.83625187813347,,92.15343991020428,56.19929674529888,,20.409314878132907,,96.40108566950491,,,23.770776732233116,,31.17363067753771,81.38474182757982,53.47600126749724,40.14940862597649,56.15702631655983,68.41494204571909,,79.3473520969856,,72.59743833626571,,56.126724178231406,,74.64830407744098,17.182591479221113,40.70737511709325,21.641415554947763,17.055953427684468,,33.50201664679425,22.8089161837077,20.802604499734187,,,60.06506378586178,,,25.777694337600938,39.3025104888992,56.34380696785374,60.57244286123958,75.02003217432018,,,,,56.87956775506658,,46.086254886145895,51.264006155555464,,39.81825030344247,,66.82779897308636,,87.26410314098779,,5.418143078905772,6.545633921355688,0.9185107820505066,,16.933410485503682,22.398076418923612,,69.95123575419521,,,83.73955753466743,71.71310617435981,45.387677218780354,24.67846330251286,55.511075325034795,,24.050981870613665,,,40.71422986214777,54.61709779045519,86.37215415140794,75.2666788273888,54.951002563154894,75.27327778328345,1.5148788886541031,,,,,Cargador Frontal,Caja de Cambios,Quintero,Chile,Volvo A60H
2023-03-29,Pala A01,11.603152112135579,,43.04992784956757,58.375835124118204,19.21374059085946,60.677172429263464,,59.6889399007336,17.69838601101219,,,28.632342239351456,,,,13.85353019686918,2.334569810109286,,82.94821223681764,77.28082405645354,,46.31723330444254,,,96.98891264064069,,81.8532307686852,,37.512480934795924,,,36.05703982462483,,27.805944396692265,84.81496510670473,99.17757022558821,67.85910266135963,13.226129784528283,,97.15931209161037,12.76903471191638,28.94121176760708,86.73372607472709,70.5270713650032,42.090756397810374,66.7029315899694,93.18475516304679,,49.297498235585984,28.003629320826004,,70.81589507355129,11.985003349636946,,84.30816260983799,,51.24527576877807,,,,79.24165355329136,,22.61890337449199,,,,66.0825190183235,9.71874337103946,83.07586722796063,,,,9.801548520159223,,22.67143917916689,,61.18772890012414,33.06986806511211,95.39665938341332,43.879236493727156,,,53.45998779734837,,,54.16839018114746,59.248209873394046,,16.84477084715796,79.40214575290817,13.798555860025472,73.6987789404749,90.43797517443956,,47.74934817566505,,18.047833285978456,,Pala Eléctrica,Caja de Cambios,Calama,Argentina,Komatsu PC8000
2025-05-21,Camión B07,4.230132630518897,,,28.158147011267168,,33.095860943746075,,1.989681908425227,63.783782534003336,10.654045900135777,,47.32373022062259,,82.17696821659611,25.08681788658942,37.36027829485092,1.1379709864358234,,73.88521965122241,34.52135287819167,92.81991699224075,27.799707840508205,48.08837327821548,7.448449743295075,,35.31282103557482,87.63329752684466,,91.2338890620743,26.637694184543996,95.32325652444338,,18.204192955675442,,8.455071753892073,95.78386475399044,,,,62.4738846348203,19.79674435200709,11.71701240633928,49.330653038787716,75.29546390272185,80.52059766304976,,,,36.7424474021998,34.706995276044566,91.34310318396965,94.31527543224442,41.67173550154085,31.304363878725717,,95.59245025490024,,4.841922246469297,,3.9272277004160805,93.58423603206576,95.86623602706504,84.2031688704552,61.084258661222805,98.831984105502,,10.370134919630285,,81.27831432782345,61.22565927164672,26.270535924453732,,91.07693937122023,97.44061650834331,,,42.199382356853356,50.40306761873474,,41.12302456803576,54.77783511189422,47.137942925588916,50.409017429300434,,0.9849167248777255,,40.72375920180866,63.5185370694117,,43.45362247234122,,41.01861102410582,77.24024711115705,,43.60683340322511,30.317482540580365,40.2523379482275,,Excavadora,Eje,Iquique,Chile,Hitachi EH5000
2023-05-11,Camión B09,,68.37913630078657,,7.760480602032926,57.45419691490605,51.02627186218777,,10.604742046400379,78.69982488054413,,76.15990108033822,74.66097161409508,65.63795456387606,47.28412269360361,,,21.03056745917818,,5.3312719170360765,50.06694106847275,56.3165324840524,83.07650348450977,22.69053615042784,13.405832814119675,,71.5494235468926,18.064744193016598,36.64102733180571,79.54955556621397,59.47466428171882,,,,59.20232183514889,,72.42882563670986,37.80697685984595,,,42.29281951736861,60.12565900814446,46.03623377284987,90.67968890103052,29.03944382203904,91.6845882196297,44.499238018560625,85.99238496954693,60.98348603096062,,5.015959407582764,89.19819465802779,76.53119380217967,,90.74539796302633,60.60684104131668,74.87703351241271,37.26759532647309,26.089928144727267,,53.82092296977993,,,62.51649046482745,60.33494555406314,,86.65644007480262,32.09441638529459,,63.27047302360163,70.96516044194833,50.76329249547724,3.219867566913394,43.51110659991934,,,,,94.69705634941896,69.1437652881974,30.10144721088624,58.5624967147689,22.600983788589357,,30.152228269801522,83.15851485458512,,26.748037299379014,,47.978458454689836,,,8.867433280094128,5.8249354446801345,11.255811031599938,52.62721259631056,40.0851824897384,,14.427752689205553,Pala Eléctrica,Motor,Mejillones,Argentina,Liebherr R9800
2025-02-08,Camión B04,93.01716637287701,75.31213159912024,,,,13.022282618742263,26.419593066480157,83.39921858641851,75.32366332597607,,86.59469588414879,25.754739563239692,74.95767073552197,,,85.23140752428587,79.87143101175121,,14.547070409469859,78.57276036013714,,56.49524430280823,0.9581123455128504,65.07527602246103,,,58.356197175035696,,93.97518399740316,27.6111260346612,52.70769762185083,,12.070960479064658,,15.288500568230488,,,,83.83287846975091,21.814734386494028,71.86060828317451,49.91716615799918,22.925648105070483,51.94181085080109,91.12819251626308,,61.01189875603792,,50.25252972406394,45.54753121432693,41.75442833402801,,26.25336278835843,45.79699776614894,,96.36887498123822,15.279455620350136,52.92212891840754,3.3247299476529584,,40.370420826651795,,,,57.34833787527733,,56.592033605321355,,24.239806169842176,65.0005849625354,54.90046271101875,,98.56067014603252,45.09017121240193,,29.936993314121043,54.58527517027817,,,40.67774841318091,69.54704973949991,,90.905621959865,48.42426415210871,67.30488149213929,,7.078882385255484,,73.20019813128768,23.54507713516831,47.602162409712605,,,,25.327015392677765,35.8326826004207,64.05750897360858,66.43755475727046,Bulldozer,Transmisión,Copiapó,Argentina,Liebherr T284
2023-12-10,Camión B02,,,,,,45.21935826315412,,,71.87100057151645,,,18.179052961366303,82.17909613810555,,,,8.94237593967798,,99.95328256734204,93.65147770881282,86.14491800664864,75.43815695143039,15.030149936154901,97.72507312515614,,7.720238791316627,,97.43236700615545,21.48536719289332,69.88357301323168,39.45665189384227,,,50.53955636459824,10.598807664485344,89.82168337374843,12.602088209193985,5.12195273175426,38.062941230814076,,,66.83308863982674,42.84896713771745,,85.12299325373078,40.676252145306385,83.47496433620475,24.932624851177035,,,,,,93.29217569857292,,,70.66053944369169,15.185522540503813,41.42498942750886,74.88488074679155,65.61397474024632,,45.39703909111843,59.643770450160645,,,,,86.9882231707011,15.89269533530191,46.51016348096581,10.581995384830954,73.77376445527523,,,3.154515347012814,19.473240712512073,54.1889164369777,61.313933358780126,98.26816079743296,,,,35.15356908948747,47.04809960049879,,98.89187158438197,77.37125744618179,94.17173979558189,92.64889871660186,,14.199210356627889,20.6201377283051,48.34327231192258,,74.3083880702074,,11.945893297693722,Camión de Extracción,Eje,Quintero,Bolivia,Liebherr T284
